"lsoa11cd","date","lsoa11nm","Rural Urban","Religion: All categories: Religion; measures: Value","Religion: Has religion; measures: Value","Religion: Christian; measures: Value","Religion: Buddhist; measures: Value","Religion: Hindu; measures: Value","Religion: Jewish; measures: Value","Religion: Muslim; measures: Value","Religion: Sikh; measures: Value","Religion: Other religion; measures: Value","Religion: No religion; measures: Value","Religion: Religion not stated; measures: Value"
"E01006751",2011,"Liverpool 031F","Total",2572,1729,1311,37,73,3,283,11,11,698,145
"E01006752",2011,"Liverpool 035F","Total",1012,781,599,12,15,0,147,5,3,179,52
"E01006753",2011,"Liverpool 059A","Total",1557,1177,1165,1,0,4,6,0,1,282,98
"E01006754",2011,"Liverpool 059B","Total",1627,1310,1297,3,0,1,4,0,5,223,94
"E01006755",2011,"Liverpool 059C","Total",1587,1163,1131,1,0,2,27,0,2,294,130
"E01006756",2011,"Liverpool 059D","Total",1820,1376,1359,4,1,1,9,0,2,342,102
"E01006757",2011,"Liverpool 059E","Total",1491,1152,1141,2,0,1,1,0,7,260,79
"E01006758",2011,"Liverpool 059F","Total",1527,1161,1135,4,0,0,15,0,7,287,79
"E01006759",2011,"Liverpool 028D","Total",1095,864,821,5,2,0,33,0,3,148,83
"E01006760",2011,"Liverpool 028E","Total",1611,1141,1056,7,4,3,67,1,3,329,141
"E01006761",2011,"Liverpool 020B","Total",1644,1294,1260,10,4,1,16,0,3,255,95
"E01006762",2011,"Liverpool 015E","Total",1692,1338,1305,4,4,0,20,0,5,230,124
"E01006763",2011,"Liverpool 020C","Total",1471,1145,1120,6,5,0,12,0,2,248,78
"E01006764",2011,"Liverpool 020D","Total",1522,1120,1052,4,0,3,57,2,2,341,61
"E01006765",2011,"Liverpool 020E","Total",1468,1129,1110,4,4,0,9,0,2,247,92
"E01006766",2011,"Liverpool 019E","Total",1266,973,914,5,10,0,40,0,4,246,47
"E01006767",2011,"Liverpool 019F","Total",1787,1342,1303,3,7,0,24,0,5,351,94
"E01006768",2011,"Liverpool 020F","Total",1359,1003,934,9,4,1,54,0,1,247,109
"E01006769",2011,"Liverpool 040B","Total",1270,933,906,0,0,1,20,0,6,222,115
"E01006770",2011,"Liverpool 040C","Total",1002,785,775,1,1,0,6,0,2,149,68
"E01006771",2011,"Liverpool 040D","Total",1425,1154,1139,5,3,0,7,0,0,169,102
"E01006772",2011,"Liverpool 040E","Total",1091,886,872,0,8,1,5,0,0,143,62
"E01006773",2011,"Liverpool 036D","Total",1379,1147,1124,4,3,2,9,3,2,164,68
"E01006774",2011,"Liverpool 036E","Total",1445,1159,1105,11,16,3,22,0,2,216,70
"E01006775",2011,"Liverpool 040F","Total",1319,1037,1029,1,0,4,2,0,1,195,87
"E01006776",2011,"Liverpool 022B","Total",1677,1405,1393,3,0,0,8,0,1,156,116
"E01006778",2011,"Liverpool 014E","Total",2205,1751,1699,6,15,0,26,2,3,326,128
"E01006779",2011,"Liverpool 022D","Total",1968,1662,1636,8,1,0,13,0,4,154,152
"E01006780",2011,"Liverpool 002D","Total",1465,1188,1181,2,0,3,1,0,1,207,70
"E01006781",2011,"Liverpool 003A","Total",1470,1229,1226,2,0,0,1,0,0,176,65
"E01006782",2011,"Liverpool 003B","Total",1560,1244,1219,4,8,2,3,1,7,247,69
"E01006783",2011,"Liverpool 002E","Total",1548,1225,1219,2,3,0,1,0,0,235,88
"E01006784",2011,"Liverpool 003C","Total",1347,1040,1029,2,0,0,5,0,4,223,84
"E01006785",2011,"Liverpool 003D","Total",1769,1430,1408,1,3,1,11,1,5,260,79
"E01006786",2011,"Liverpool 003E","Total",1820,1500,1489,0,0,2,7,1,1,230,90
"E01006787",2011,"Liverpool 006A","Total",2330,1604,1496,11,13,2,69,0,13,563,163
"E01006788",2011,"Liverpool 006B","Total",1825,1492,1467,0,1,0,16,0,8,241,92
"E01006790",2011,"Liverpool 006C","Total",1587,1241,1208,0,3,0,22,0,8,253,93
"E01006791",2011,"Liverpool 006D","Total",1674,1351,1308,2,4,2,27,4,4,213,110
"E01006792",2011,"Liverpool 046A","Total",1368,1131,1053,4,7,48,13,1,5,160,77
"E01006793",2011,"Liverpool 051A","Total",1494,1136,1058,1,11,42,21,1,2,258,100
"E01006794",2011,"Liverpool 046B","Total",1593,1241,1139,5,32,44,16,2,3,251,101
"E01006795",2011,"Liverpool 051B","Total",1407,1096,1034,2,19,35,3,1,2,235,76
"E01006796",2011,"Liverpool 047E","Total",1591,1296,1075,3,38,107,70,1,2,202,93
"E01006797",2011,"Liverpool 051C","Total",1499,1155,1147,2,1,0,3,0,2,228,116
"E01006798",2011,"Liverpool 051D","Total",1410,1176,1143,3,6,19,3,0,2,168,66
"E01006799",2011,"Liverpool 051E","Total",1821,1418,1386,3,11,12,4,0,2,257,146
"E01006800",2011,"Liverpool 046C","Total",1401,1140,1060,9,28,23,16,2,2,158,103
"E01006801",2011,"Liverpool 046D","Total",1355,1127,1079,13,1,20,5,7,2,149,79
"E01032505",2011,"Liverpool 050F","Total",1317,1031,976,2,9,5,31,0,8,190,96
